MONTH_YEAR,hdd,hdd_dev,wcdd,wcdd_dev,month,year
2008-01-01,955,49,6,-3,1,2008
2008-02-01,845,-102,9,0,2,2008
2008-03-01,665,120,14,-4,3,2008
2008-04-01,372,-45,30,0,4,2008
2008-05-01,200,85,99,2,5,2008
2008-06-01,27,0,265,52,6,2008
2008-07-01,5,-2,339,18,7,2008
2008-08-01,14,4,281,-9,8,2008
2008-09-01,65,6,170,15,9,2008
2008-10-01,310,99,50,-3,10,2008
2008-11-01,578,12,11,-4,11,2008
2008-12-01,908,37,8,1,12,2008
2009-01-01,1034,79,4,-5,1,2009
2009-02-01,759,-57,6,-2,2,2009
2009-03-01,631,-33,18,0,3,2009
2009-04-01,385,12,41,11,4,2009
2009-05-01,139,-61,109,12,5,2009
2009-06-01,48,21,222,9,6,2009
2009-07-01,17,12,294,-27,7,2009
2009-08-01,19,5,307,17,8,2009
2009-09-01,69,4,166,11,9,2009
2009-10-01,369,60,47,-6,10,2009
2009-11-01,477,-100,14,-1,11,2009
2009-12-01,937,29,7,0,12,2009
2010-01-01,998,-35,3,-6,1,2010
2010-02-01,865,106,1,-7,2,2010
2010-03-01,581,-51,5,-13,3,2010
2010-04-01,299,-86,33,3,4,2010
2010-05-01,161,21,131,34,5,2010
2010-06-01,24,-24,279,66,6,2010
2010-07-01,5,-13,385,64,7,2010
2010-08-01,7,-12,356,66,8,2010
2010-09-01,64,-4,196,41,9,2010
2010-10-01,262,-107,51,-2,10,2010
2010-11-01,569,92,16,1,11,2010
2010-12-01,955,18,2,-5,12,2010
2011-01-01,1029,31,3,-6,1,2011
2011-02-01,813,-52,10,2,2,2011
2011-03-01,647,66,20,2,3,2011
2011-04-01,355,56,56,26,4,2011
2011-05-01,186,26,120,23,5,2011
2011-06-01,38,13,256,43,6,2011
2011-07-01,3,-2,411,90,7,2011
2011-08-01,7,0,347,57,8,2011
2011-09-01,81,17,184,29,9,2011
2011-10-01,281,19,46,-7,10,2011
2011-11-01,512,-57,16,1,11,2011
2011-12-01,775,-180,8,1,12,2011
2012-01-01,813,-216,6,-3,1,2012
2012-02-01,714,-132,11,2,2,2012
2012-03-01,410,-237,36,18,3,2012
2012-04-01,333,-22,47,17,4,2012
2012-05-01,98,-88,146,49,5,2012
2012-06-01,32,-5,242,29,6,2012
2012-07-01,1,-1,408,87,7,2012
2012-08-01,10,3,330,40,8,2012
2012-09-01,83,2,183,28,9,2012
2012-10-01,301,20,56,3,10,2012
2012-11-01,580,69,13,-2,11,2012
2012-12-01,758,-17,11,4,12,2012
2013-01-01,904,91,10,1,1,2013
